Row,Date,Category,Store,Address
413,2007-09-01,Restaurants & Quick Serve Restaurants,Hot Dog on a Stick,S372
420,2007-09-01,Restaurants & Quick Serve Restaurants,Panda Express,S374
401,2007-09-01,Restaurants & Quick Serve Restaurants,A&W; Hot Dogs & More,S376
417,2007-09-01,Restaurants & Quick Serve Restaurants,Long John Silvers,S378
377,2007-09-01,Restaurants & Quick Serve Restaurants,Caribou Coffee,S380
381,2007-09-01,Restaurants & Quick Serve Restaurants,Cold Stone Creamery,S382
403,2007-09-01,Restaurants & Quick Serve Restaurants,Asian Chao/Maki of Japan,S385
412,2007-09-01,Restaurants & Quick Serve Restaurants,Great Steak & Potato Co.,S388
424,2007-09-01,Restaurants & Quick Serve Restaurants,Sbarro,S390
418,2007-09-01,Restaurants & Quick Serve Restaurants,McDonald's,S391
404,2007-09-01,Restaurants & Quick Serve Restaurants,Baja Tortilla Grill,S392
375,2007-09-01,Restaurants & Quick Serve Restaurants,Bubba Gump Shrimp Co.,S396
97,2007-09-01,Travel,AMC Theatres 14 Screens,S401
195,2007-09-01,Travel,Banana Republic,W100
339,2007-09-01,Women's Fashions,Cache,W107
439,2007-09-01,Restaurants & Quick Serve Restaurants,Tucci Benucch,W114
211,2007-09-01,Travel,H & M,W117
362,2007-09-01,Travel,"River Church, The",W121
324,2007-09-01,Travel,Urban Outfitters,W122
157,2007-09-01,Travel,Holiday Station Store,W123
233,2007-09-01,Travel,D.S.W. Shoe Warehouse,W124
164,2007-09-01,Travel,Select Comfort,W125
400,2007-09-01,Restaurants & Quick Serve Restaurants,Teavana,W128
109,2007-09-01,Travel,Solstice Sunglass Boutique,W131
255,2007-09-01,Travel,STACCATO,W132
231,2007-09-01,Travel,Bostonian,W133
50,2007-09-01,Travel,Progressions Salon,W134
57,2007-09-01,Travel,Your Body Repair Shop,W135
167,2007-09-01,Travel,Ben Bridge Jeweler,W136
61,2007-09-01,Travel,Franklin Covey,W140
256,2007-09-01,Travel,Steve Madden,W142
344,2007-09-01,Women's Fashions,Kiwi Beach,W144
179,2007-09-01,Travel,Rogers & Hollands,W146
37,2007-09-01,Travel,"Body Shop, The",W148
172,2007-09-01,Travel,Helzberg Diamonds,W154
64,2007-09-01,Women's Specialty Fashions,Jessica McClintock,W156
159,2007-09-01,Travel,Autumn Cottage,W158
315,2007-09-01,Travel,Vikings Locker Room,W160
387,2007-09-01,Restaurants & Quick Serve Restaurants,Harry and David,W161
119,2007-09-01,Travel,Brookstone,W162
174,2007-09-01,Travel,Kay Jewelers,W166
52,2007-09-01,Travel,Sephora,W200
207,2007-09-01,Travel,Express,W204
65,2007-09-01,Travel,abercrombie,W209
346,2007-09-01,Women's Fashions,"Limited, The",W210
431,2007-09-01,Restaurants & Quick Serve Restaurants,Napa Valley Grille,W220
437,2007-09-01,Restaurants & Quick Serve Restaurants,Tiger Sushi,W224
358,2007-09-01,Travel,AARP,W228
206,2007-09-01,Travel,Eddie Bauer,W230
226,2007-09-01,Travel,Tommy Bahama's,W235
73,2007-09-01,Travel,Hanna Andersson,W258
165,2007-09-01,Travel,Tiffany Collection,W260
166,2007-09-01,Travel,Williams-Sonoma,W262
40,2007-09-01,Travel,L'OCCITANE,W268
38,2007-09-01,Travel,Crabtree & Evelyn,W270
7,2007-09-01,Travel,Coach,W274
398,2007-09-01,Restaurants & Quick Serve Restaurants,Starbucks Coffee Company,W276
178,2007-09-01,Travel,Osterman's Jewelers,W278
356,2007-09-01,Women's Specialty Fashions,Tall Girl,W282
29,2007-09-01,Travel,Rodney Lough Jr. Wilderness Collections Gallery,W286
32,2007-09-01,Travel,Aveda Experience Center,W288
355,2007-09-01,Women's Specialty Fashions,Everything but Water,W290
46,2007-09-01,Travel,Origins,W292
42,2007-09-01,Travel,MAC Cosmetics,W294
19,2007-09-01,Travel,Sole Mio Sunglasses,W296
228,2007-09-01,Travel,Sam Goody,W300
156,2007-09-01,Travel,Highland Bank,W322
218,2007-09-01,Travel,Nordstrom Rack,W324
393,2007-09-01,Restaurants & Quick Serve Restaurants,Old Vine Wine and Spirits,W326
200,2007-09-01,Travel,Choppers Town USA,W327
312,2007-09-01,Travel,Sports Authority,W340
306,2007-09-01,Travel,Champs Sports,W358
111,2007-09-01,Travel,Sunglass Hut - Watch Station,W360
150,2007-09-01,Travel,Things Remembered,W362
41,2007-09-01,Travel,L.A. Nails,W364
95,2007-09-01,Travel,Verizon Wireless,W365
308,2007-09-01,Travel,Goldy's Locker Room,W366
326,2007-09-01,Travel,Air Traffic,W368
309,2007-09-01,Travel,Lids,W369
114,2007-09-01,Travel,Al's Farm Toys,W370
153,2007-09-01,Travel,Wild Bird Store,W372
132,2007-09-01,Travel,Love From Minnesota,W380
397,2007-09-01,Restaurants & Quick Serve Restaurants,Rybicki Cheese,W382
60,2007-09-01,Travel,Bead It!,W383
395,2007-09-01,Restaurants & Quick Serve Restaurants,Pretzel Time,W384
106,2007-09-01,Travel,Pearle Vision,W385
147,2007-09-01,Travel,Spirit of the Red Horse,W387
118,2007-09-01,Travel,Bow Wow Meow,W388
14,2007-09-01,Travel,Icing by Claire's,W390
20,2007-09-01,Travel,Sox Appeal,W391
376,2007-09-01,Restaurants & Quick Serve Restaurants,Candy Candy!,W392
